"EventId","Station","SampleDate","SampleTime","Longitude","CHLA","DIN","DO","DOC","DON","DOP","FCOLI_C","FSS","KD","NH4F","NO23F","NO2F","NO3F","PC","PH","PHEO","PN","PO4F","PP","SALINITY","SECCHI","SIF","SIGMA_T","SPCOND","TDN","TDP","TN","TON","TP","TSS","TURB_NTU","VSS","WTEMP"
422971,"TF5.6","2016-09-07","11:00:00",-76.99057,10.3,0.117,5.62,NA,0.251,0.003,25,12,NA,0.025,0.092,0.024,0.068,0.523,7.46,6.56,0.124,0.014,0.0206,1.29,0.6,NA,-2.46102,2397,0.368,0.017,NA,NA,0.0376,14,10.3,2,27.03
425666,"LE5.1","2016-10-11","10:20:00",-76.64833,2.17,0.316,8.54,NA,0.21,-0.002,25,9,NA,0.005,0.311,0.095,0.216,0.16,7.73,0.21,0.032,0.036,0.0094,5.34,0.9,NA,2.32645,9475,0.522,0.034,NA,NA,0.0434,13,6.23,4,20.09
425667,"LE5.1","2016-11-01","09:45:00",-76.64833,6.44,0.275,9.16,NA,0.233,0.009,25,8,NA,0.01,0.265,0.003,0.262,0.468,7.98,2.56,0.078,0.032,0.0215,4.12,1,NA,1.82402,7436,0.508,0.041,NA,NA,0.0625,11,8.29,3,17.99
425693,"RET5.2","2016-10-11","10:45:00",-76.78219,7.33,0.354,8.58,4.08,0.21,0,25,17,NA,0.008,0.346,0.045,0.301,1.11,7.73,4.64,0.144,0.022,0.0329,1.55,0.5,1.4019,-0.55804,2970,0.564,0.022,NA,NA,0.0549,22,15,5,20.05
425694,"RET5.2","2016-11-01","10:15:00",-76.78219,7.48,0.358,9.08,NA,0.25,0.011,25,14,2.6108,0.007,0.351,0.002,0.3495,0.719,7.85,4.88,0.168,0.031,0.0312,1.44,0.5,2.3364,-0.1843,2771,0.611,0.042,0.779,0.508,0.0732,20,16.2,6,17.73
425735,"TF5.5","2016-10-04","12:25:00",-77.23283,5.07,0.373,6.72,3.82,0.195,0.01,150,16,2.6831,0.068,0.305,0.011,0.294,0.521,7.46,2.04,0.03,0.014,0.0185,NA,0.5,3.2243,NA,290,0.568,0.024,0.5905,0.2175,0.0425,17,15.8,1,23
425736,"TF5.5","2016-11-01","12:30:00",-77.23283,40.9,0.219,9.64,4.1,0.22,0.011,75,12,2.9815,0.004,0.215,0.003,0.212,1.87,8.29,14.6,0.33,0.005,0.0462,NA,0.5,2.9439,NA,222,0.441,0.016,0.771,NA,0.0622,19,12,7,17.91
425737,"TF5.5","2016-12-01","12:00:00",-77.23283,NA,NA,NA,NA,NA,NA,NA,NA,2.7182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425738,"TF5.5A","2016-10-04","12:00:00",-77.1284,7.92,0.434,5.78,NA,0.23,0.006,300,22,NA,0.13,0.304,0.018,0.286,0.817,7.22,4.3,0.06,0.016,0.0178,NA,0.4,NA,NA,231,0.664,0.022,0.709,0.275,0.0398,25,19.6,3,23.44
425739,"TF5.5A","2016-11-01","11:50:00",-77.1284,34.85,0.2765,9.6,NA,0.26,0.0075,50,18.5,NA,0.0055,0.271,0.0025,0.2685,2.295,8.24,15.6,0.381,0.005,0.05495,NA,0.4,NA,NA,201,0.538,0.0125,0.919,NA,NA,26.5,17.9,8,17.75
425740,"TF5.5A","2016-12-01","11:30:00",-77.1284,43,0.139,11.72,NA,0.256,0.006,25,10,NA,0.027,0.112,0.002,0.11,2.45,8.41,13.8,0.42,0.004,0.048,0.13,0.5,NA,-0.38712,271,0.395,0.01,0.815,0.676,NA,18,11.2,8,12.43
425741,"TF5.6","2016-10-04","11:20:00",-76.99057,13.9,0.444,5.56,NA,0.236,0.008,25,16,NA,0.075,0.369,0.053,0.316,1.23,7.32,12.2,0.404,0.011,0.0307,NA,0.6,NA,NA,392,0.68,0.019,1.084,0.64,0.0497,20,13.8,4,24.01
425742,"TF5.6","2016-11-01","11:20:00",-76.99057,5.45,0.585,6.84,NA,0.222,0.001,25,12,NA,0.013,0.572,0.01,0.562,0.764,7.45,6.32,0.084,0.024,0.0282,NA,0.5,NA,NA,215,0.807,0.025,NA,NA,0.0532,17,16.6,5,18.2
425743,"TF5.6","2016-12-01","11:00:00",-76.99057,15,0.149,10.8,NA,0.285,0.005,25,13,NA,0.022,0.127,0.002,0.1255,1.21,7.84,11,0.204,0.007,0.0389,0.34,0.4,NA,-0.16221,667,0.434,0.012,NA,0.52,NA,17,11.4,4,11.91
429463,"LE5.1","2017-01-04","10:00:00",-76.64833,4.31,0.242,11.74,NA,0.21,0.002,25,8,NA,0.031,0.211,0.002,0.2095,0.316,8.06,0.84,0.066,0.017,0.0155,6.97,1.1,NA,5.35894,12060,0.452,0.019,NA,0.328,0.0345,13,5.58,5,8.7
